in s,C1 in V
-1.7206630E-02,1.193905E+01
-1.7206365E-02,1.193905E+01
-1.7206099E-02,1.193710E+01
-1.7205834E-02,1.193905E+01
-1.7205568E-02,1.193515E+01
-1.7205302E-02,1.193320E+01
-1.7205037E-02,1.193515E+01
-1.7204771E-02,1.193320E+01
-1.7204506E-02,1.192734E+01
-1.7204240E-02,1.193905E+01
-1.7203974E-02,1.193905E+01
-1.7203709E-02,1.193320E+01
-1.7203443E-02,1.193320E+01
-1.7203178E-02,1.194687E+01
-1.7202912E-02,1.193124E+01
-1.7202646E-02,1.193710E+01
-1.7202381E-02,1.193320E+01
-1.7202115E-02,1.193710E+01
-1.7201850E-02,1.193905E+01
-1.7201584E-02,1.193515E+01
-1.7201318E-02,1.193905E+01
-1.7201053E-02,1.193710E+01
-1.7200787E-02,1.193320E+01
-1.7200522E-02,1.193710E+01
-1.7200256E-02,1.193515E+01
-1.7199990E-02,1.193515E+01
-1.7199725E-02,1.193515E+01
-1.7199459E-02,1.193124E+01
-1.7199194E-02,1.193320E+01
-1.7198928E-02,1.194101E+01
-1.7198662E-02,1.194101E+01
-1.7198397E-02,1.193515E+01
-1.7198131E-02,1.193515E+01
-1.7197866E-02,1.194101E+01
-1.7197600E-02,1.193515E+01
-1.7197334E-02,1.193710E+01
-1.7197069E-02,1.193515E+01
-1.7196803E-02,1.193710E+01
-1.7196538E-02,1.193710E+01
-1.7196272E-02,1.193905E+01
-1.7196006E-02,1.192929E+01
-1.7195741E-02,1.193124E+01
-1.7195475E-02,1.192734E+01
-1.7195210E-02,1.193320E+01
-1.7194944E-02,1.193515E+01
-1.7194678E-02,1.192929E+01
